id,name,key,time_signature,ratio_corcheas_negras,muiñeira_type
442,Ribeirana de Pontevedra,C major,6/8,0.06172839506172839,C2
443,Ribeirana de Pontevedra,C major,6/8,0.08163265306122448,C1
444,Ribeirana de Pontevedra,C major,6/8,0.0625,C2
445,Ribeirana de Redondela,C major,6/8,0.24193548387096775,C1
446,Ribeirana de Pontevedra,C major,6/8,0.3888888888888889,C2
447,Carballesa,C major,6/8,0.07092198581560284,C1
448,Carballesa,C major,2/4,0.2903225806451613,C2
449,Carballesa do Incio,C major,2/4,0.12698412698412698,C1
450,Muiñeira de Vilarmide,C major,6/8,0.09202453987730061,C2
451,Na Ruada,C major,2/4,0.16071428571428573,C2
452,Danza Anterga de Lugo,C major,2/4,0.18181818181818182,C1
